condition,metric,mean,median,sd,n
agent,latency_s,2.676083983806893,2.6978002049727365,0.6625228155906991,15
agent,avg_process_cpu_percent,61.35058052227077,61.11666666666667,1.4678653786220792,15
agent,peak_process_cpu_percent,249.23999999999998,227.1,58.661715429595624,15
agent,llm_calls,2.0,2.0,0.0,15
agent,tool_calls,2.0,2.0,0.0,15
agent,prompt_tokens,489.6,497.0,76.71636070617532,15
agent,completion_tokens,344.8,346.0,95.2884343154284,15
agent,total_tokens,834.4,843.0,170.27616224407757,15
agent,avg_kv_cache_usage_fraction,0.002596521523730896,0.002613880411438908,0.0005607433577201236,15
agent,peak_kv_cache_usage_fraction,0.004593082400813841,0.00462868769074265,0.0009877448015879313,15
agent,passed,1.0,1.0,0.0,15
chatbot,latency_s,1.203346480266191,1.208608285000082,0.32651043549703124,15
chatbot,avg_process_cpu_percent,58.68071908556498,58.479166666666664,2.6485082614097326,15
chatbot,peak_process_cpu_percent,213.05333333333334,204.3,21.075844896355598,15
chatbot,llm_calls,1.0,1.0,0.0,15
chatbot,tool_calls,0.0,0.0,0.0,15
chatbot,prompt_tokens,144.6,150.0,16.889557213175923,15
chatbot,completion_tokens,172.4,173.0,47.6442171577142,15
chatbot,total_tokens,317.0,321.0,61.582697013272906,15
chatbot,avg_kv_cache_usage_fraction,0.0020285090758160435,0.0020548438498726148,0.0003437818637737427,15
chatbot,peak_kv_cache_usage_fraction,0.0028280773143438687,0.0027975584944048837,0.0005247593386104209,15
chatbot,passed,1.0,1.0,0.0,15
