condition,metric,mean,median,sd,n
agent,latency_s,2.1599815798612934,2.339824755967129,1.1721936501853298,15
agent,avg_process_cpu_percent,84.49382308589422,77.23106382978723,15.17660981253969,15
agent,peak_process_cpu_percent,310.58,300.8,33.28309738333514,15
agent,llm_calls,2.0,2.0,0.0,15
agent,tool_calls,1.0,1.0,0.0,15
agent,prompt_tokens,437.0,367.0,113.96051947933547,15
agent,completion_tokens,250.2,275.0,169.9256980481259,15
agent,total_tokens,687.2,605.0,249.4912537831451,15
agent,avg_kv_cache_usage_fraction,0.002314232441097946,0.0021771173784117257,0.0012486162970149037,15
agent,peak_kv_cache_usage_fraction,0.004135300101729393,0.003916581892166815,0.0017956340309737127,15
chatbot,latency_s,2.649521046333636,2.757553656003438,0.6909696482753076,15
chatbot,avg_process_cpu_percent,58.308912853835146,58.814696485623,2.8324577644108975,15
chatbot,peak_process_cpu_percent,204.0,201.0,6.827151675479309,15
chatbot,llm_calls,1.0,1.0,0.0,15
chatbot,tool_calls,0.0,0.0,0.0,15
chatbot,prompt_tokens,105.6,69.0,55.03609205395518,15
chatbot,completion_tokens,383.06666666666666,397.0,99.91100802118615,15
chatbot,total_tokens,488.6666666666667,524.0,138.8800441628194,15
chatbot,avg_kv_cache_usage_fraction,0.0026415308932860606,0.0026408204654851312,0.0008066377155518511,15
chatbot,peak_kv_cache_usage_fraction,0.004326890471346223,0.00462868769074265,0.001233323511390073,15
